CONTROLPANEL_EXPRESSION_TITLE	Ausdruck

CONTROLPANEL_EXPRESSION_AUTO	Automatisch

CONTROLPANEL_EXPRESSION_EYE_TITLE	Ausdruck Augen
CONTROLPANEL_EXPRESSION_EYE_BLINKING	Blinzeln umschalten
CONTROLPANEL_EXPRESSION_EYE_SPLIT_OPENING	Augen getrennt öffnen
CONTROLPANEL_EXPRESSION_EYE_OPENING	Augen öffnen
CONTROLPANEL_EXPRESSION_LEFT_EYE_OPENING	Linkes Auge öffnen
CONTROLPANEL_EXPRESSION_RIGHT_EYE_OPENING	Rechtes Auge öffnen

CONTROLPANEL_EXPRESSION_MOUTH_TITLE	Ausdruck Mund
CONTROLPANEL_EXPRESSION_MOUTH_OPENING	Mundöffnung
