STUDIOCHARSETTINGS_CLOTHACCPANEL_TITLE	服装与配件
STUDIOCHARSETTINGS_CLOTHACCPANEL_NONESELECTED	未选择角色
STUDIOCHARSETTINGS_CLOTHACCPANEL_ONLYONEALLOWED	一次只能修改一个角色

STUDIOCHARSETTINGS_CLOTHACCPANEL_SETS	套装
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH	服装
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC	配件

STUDIOCHARSETTINGS_CLOTHACCPANEL_SET	设置
STUDIOCHARSETTINGS_CLOTHACCPANEL_WEAR	穿戴
STUDIOCHARSETTINGS_CLOTHACCPANEL_WEARING	正在穿戴
STUDIOCHARSETTINGS_CLOTHACCPANEL_TOGGLE	切换
STUDIOCHARSETTINGS_CLOTHACCPANEL_STATE	状态

STUDIOCHARSETTINGS_CLOTHACCPANEL_DEFAULTOUTFIT	默认服装
STUDIOCHARSETTINGS_CLOTHACCPANEL_NEWOUTFIT	新服装
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLONEDOUTFIT	复制服装

STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_PERCLOTHCONTROL	每件服装控制
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_AUTO	自动
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_CLOTHED	穿着
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_UNDERWEAR	内衣
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_HALF	部分
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_NAKED	裸体
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_FULL	整体
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_OFF	脱掉

STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_PERACCCONTROL	每个配件控制
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_ESSENTIAL	必要
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_IMPORTANT	重要
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_UNIMPORTANT	不重要
