SETTINGS_PAGE_GENERAL_HEADER_LANG	Idioma
SETTINGS_PAGE_GENERAL_HEADER_GIZMO	Gizmo
SETTINGS_PAGE_GENERAL_HEADER_SELECTION	Seleção
SETTINGS_PAGE_GENERAL_HEADER_DEBUG	Debug
SETTINGS_PAGE_GENERAL_HEADER_SCREENSHOT	Captura de Tela

SETTINGS_PAGE_GENERAL_GIZMOSIZE	Multiplicador de Tamanho
SETTINGS_PAGE_GENERAL_OUTLINEWIDTH	Tamanho do Contorno
SETTINGS_PAGE_GENERAL_OUTLINECOLOR	Cor do Contorno
SETTINGS_PAGE_GENERAL_TOGGLEPERFPANEL	Alternar Painel de Desempenho
SETTINGS_PAGE_GENERAL_TOGGLEDATAOBJCOMPRESSION	Alternar Compressão do Painel de Dados

SETTINGS_PAGE_GENERAL_SS_FORMAT	Formato de Data
SETTINGS_PAGE_GENERAL_SS_ALPHA	Alternar Transparência
SETTINGS_PAGE_GENERAL_SS_UPSCALE	Upscaling

SETTINGS_PAGE_GENERAL_SS_NONE	Sem Upscaling
SETTINGS_PAGE_GENERAL_SS_TWO	Upscaling 2x
SETTINGS_PAGE_GENERAL_SS_FOUR	Upscaling 4x
SETTINGS_PAGE_GENERAL_SS_EIGHT	Upscaling 8x
SETTINGS_PAGE_GENERAL_HEADER_UI	 UI 
SETTINGS_PAGE_GENERAL_UI_ANIMATIONSPEED	Velocidade de animação da IU
SETTINGS_PAGE_GENERAL_SCREENPOSITION_TOPLEFT	Canto Superior da Tela à Esquerda	-2
SETTINGS_PAGE_GENERAL_SCREENPOSITION_TOPCENTER	Canto Superior da Tela ao Centro	-2
SETTINGS_PAGE_GENERAL_SCREENPOSITION_TOPRIGHT	Canto Superior da Tela à Direita	-2
SETTINGS_PAGE_GENERAL_SCREENPOSITION_MIDDLELEFT	Centro da Tela à Esquerda	-2
SETTINGS_PAGE_GENERAL_SCREENPOSITION_MIDDLECENTER	Centro da Tela	-2
SETTINGS_PAGE_GENERAL_SCREENPOSITION_MIDDLERIGHT	Centro da Tela à Direita	-2
SETTINGS_PAGE_GENERAL_SCREENPOSITION_BOTTOMLEFT	Canto Inferior da Tela à Esquerda	-2
SETTINGS_PAGE_GENERAL_SCREENPOSITION_BOTTOMCENTER	Canto Inferior da Tela ao Centro	-2
SETTINGS_PAGE_GENERAL_SCREENPOSITION_BOTTOMRIGHT	Canto Inferior da Tela à Direita	-2
SETTINGS_PAGE_GENERAL_DEVMODE	Toggle Developer Mode
