CONTROLPANEL_EXPRESSION_TITLE	Expressão

CONTROLPANEL_EXPRESSION_AUTO	Automática

CONTROLPANEL_EXPRESSION_EYE_TITLE	Expressão Ocular
CONTROLPANEL_EXPRESSION_EYE_BLINKING	Alternar Piscar de Olhos
CONTROLPANEL_EXPRESSION_EYE_SPLIT_OPENING	Abertura dos Olhos Separada	-2
CONTROLPANEL_EXPRESSION_EYE_OPENING	Abertura dos Olhos
CONTROLPANEL_EXPRESSION_LEFT_EYE_OPENING	Abertura do Olho Esquerdo
CONTROLPANEL_EXPRESSION_RIGHT_EYE_OPENING	Abertura do Olho Direito

CONTROLPANEL_EXPRESSION_MOUTH_TITLE	Expressão Bucal
CONTROLPANEL_EXPRESSION_MOUTH_OPENING	Abertura Bucal
