TOOLTIP_CHARA	角色
TOOLTIP_OUTFIT	服装
TOOLTIP_STUDIOSCENE	工作室场景

TOOLTIP_STUDIOWORKSPACE_TITLE	工作区
TOOLTIP_STUDIOWORKSPACE_CLEAR	移除所有对象
TOOLTIP_STUDIOWORKSPACE_REMOVE	移除选中对象
TOOLTIP_STUDIOWORKSPACE_CUT	剪切对象
TOOLTIP_STUDIOWORKSPACE_COPY	复制对象
TOOLTIP_STUDIOWORKSPACE_DUPLICATE	复制对象
TOOLTIP_STUDIOWORKSPACE_PASTE	粘贴对象
TOOLTIP_STUDIOWORKSPACE_RENAME	重命名对象
TOOLTIP_STUDIOWORKSPACE_FOLDER	创建文件夹
TOOLTIP_STUDIOWORKSPACE_ADDCHARA	添加角色
TOOLTIP_STUDIOWORKSPACE_EDITCHARA	编辑角色
TOOLTIP_CAMERA_TITLE	相机
TOOLTIP_CAMERA_ADD	添加新相机
TOOLTIP_CAMERA_CLEAR	清除所有相机
TOOLTIP_CAMERA_SAVE	保存选定相机
TOOLTIP_CAMERA_APPLY	应用选定相机
TOOLTIP_CAMERA_REMOVE	移除选定相机
TOOLTIP_POSE	姿势
