TOOLTIP_CHARA	角色
TOOLTIP_OUTFIT	服裝
TOOLTIP_STUDIOSCENE	工作室場景

TOOLTIP_STUDIOWORKSPACE_TITLE	工作區
TOOLTIP_STUDIOWORKSPACE_CLEAR	移除所有對象
TOOLTIP_STUDIOWORKSPACE_REMOVE	移除選中對象
TOOLTIP_STUDIOWORKSPACE_CUT	剪切對象
TOOLTIP_STUDIOWORKSPACE_COPY	複製對象
TOOLTIP_STUDIOWORKSPACE_DUPLICATE	複製對象
TOOLTIP_STUDIOWORKSPACE_PASTE	粘貼對象
TOOLTIP_STUDIOWORKSPACE_RENAME	重命名對象
TOOLTIP_STUDIOWORKSPACE_FOLDER	創建資料夾
TOOLTIP_STUDIOWORKSPACE_ADDCHARA	添加角色
TOOLTIP_STUDIOWORKSPACE_EDITCHARA	編輯角色
TOOLTIP_CAMERA_TITLE	Camera
TOOLTIP_CAMERA_ADD	Add a new camera
TOOLTIP_CAMERA_CLEAR	Clear all cameras
TOOLTIP_CAMERA_SAVE	Save selected camera
TOOLTIP_CAMERA_APPLY	Apply selected camera
TOOLTIP_CAMERA_REMOVE	Remove selected camera
