CHARAOBJPANEL_NONESELECTED	選択されていません
CHARAOBJPANEL_NONEAVAILABLE	利用可能なオブジェクトはありません


CHARAOBJPANEL_SEARCH_NAME	名前
CHARAOBJPANEL_SEARCH_DESC	説明
CHARAOBJPANEL_SEARCH_TAGS	タグ

CHARAOBJLAYERPANEL_REMOVE	削除
CHARAOBJLAYERPANEL_EDIT	編集

CHARAOBJEDITPANEL_HEADER_COLORS	色
CHARAOBJEDITPANEL_HEADER_TRANSFORM	変形
CHARAOBJEDITPANEL_HEADER_ACCESSORY	アクセサリー
CHARAOBJEDITPANEL_HEADER_TEXTURE	テクスチャ


CHARAOBJEDITPANEL_PARENT	親：
CHARAOBJEDITPANEL_BOUNDCLOTHING	束縛された服：
CHARAOBJEDITPANEL_GIZMO	動作ギズモ
CHARAOBJEDITPANEL_DISPLAY	ディスプレイ
CHARAOBJEDITPANEL_NONESELECTED	択されていません
CHARAOBJEDITPANEL_VISIBILITY	可視性
CHARAOBJEDITPANEL_VISIBILITY_ESSENTIAL	必須
CHARAOBJEDITPANEL_VISIBILITY_IMPORTANT	重要
CHARAOBJEDITPANEL_VISIBILITY_UNIMPORTANT	重要ではない
CHARAOBJEDITPANEL_RESET	リセット
CHARAOBJEDITPANEL_EXPORT	エクスポート
CHARAOBJEDITPANEL_SYNCCOLORSTOBODY	体に色を同期
CHARAOBJEDITPANEL_SYNCCOLORSTOFACE	顔に色を同期

