SETTINGS_PAGE_GENERAL_HEADER_LANG	語言	-4
SETTINGS_PAGE_GENERAL_HEADER_GIZMO	控制器	-4
SETTINGS_PAGE_GENERAL_HEADER_SELECTION	選擇	-4
SETTINGS_PAGE_GENERAL_HEADER_DEBUG	調試	-4
SETTINGS_PAGE_GENERAL_HEADER_SCREENSHOT	截圖	-4

SETTINGS_PAGE_GENERAL_GIZMOSIZE	尺寸倍數
SETTINGS_PAGE_GENERAL_OUTLINEWIDTH	輪廓線寬度
SETTINGS_PAGE_GENERAL_OUTLINECOLOR	輪廓線顏色
SETTINGS_PAGE_GENERAL_TOGGLEPERFPANEL	切換性能面板
SETTINGS_PAGE_GENERAL_TOGGLEDATAOBJCOMPRESSION	切換數據對象壓縮

SETTINGS_PAGE_GENERAL_SS_FORMAT	日期格式
SETTINGS_PAGE_GENERAL_SS_ALPHA	切換透明度
SETTINGS_PAGE_GENERAL_SS_UPSCALE	圖像放大

SETTINGS_PAGE_GENERAL_SS_NONE	無放大
SETTINGS_PAGE_GENERAL_SS_TWO	2倍放大
SETTINGS_PAGE_GENERAL_SS_FOUR	4倍放大
SETTINGS_PAGE_GENERAL_SS_EIGHT	8倍放大
SETTINGS_PAGE_GENERAL_HEADER_UI	 UI 
SETTINGS_PAGE_GENERAL_UI_ANIMATIONSPEED	UI動畫速度
SETTINGS_PAGE_GENERAL_SCREENPOSITION_TOPLEFT	左上角
SETTINGS_PAGE_GENERAL_SCREENPOSITION_TOPCENTER	顶部中心
SETTINGS_PAGE_GENERAL_SCREENPOSITION_TOPRIGHT	右上角
SETTINGS_PAGE_GENERAL_SCREENPOSITION_MIDDLELEFT	左中
SETTINGS_PAGE_GENERAL_SCREENPOSITION_MIDDLECENTER	中心
SETTINGS_PAGE_GENERAL_SCREENPOSITION_MIDDLERIGHT	右中
SETTINGS_PAGE_GENERAL_SCREENPOSITION_BOTTOMLEFT	左下角
SETTINGS_PAGE_GENERAL_SCREENPOSITION_BOTTOMCENTER	底部中心
SETTINGS_PAGE_GENERAL_SCREENPOSITION_BOTTOMRIGHT	右下角
SETTINGS_PAGE_GENERAL_DEVMODE	Toggle Developer Mode
SETTINGS_PAGE_GENERAL_ALLOWSCRIPTEDMODS	Allow Mods with Custom Code (Restart required, potentially dangerous)
