TOOLTIP_CHARA	Charakter
TOOLTIP_OUTFIT	Outfit
TOOLTIP_STUDIOSCENE	Studio Szene

TOOLTIP_STUDIOWORKSPACE_TITLE	Arbeitsbereich
TOOLTIP_STUDIOWORKSPACE_CLEAR	Entferne alle Objekte
TOOLTIP_STUDIOWORKSPACE_REMOVE	Entferne ausgewählte Objekte
TOOLTIP_STUDIOWORKSPACE_CUT	Objekt ausschneiden
TOOLTIP_STUDIOWORKSPACE_COPY	Objekt kopieren
TOOLTIP_STUDIOWORKSPACE_DUPLICATE	Objekt duplizieren
TOOLTIP_STUDIOWORKSPACE_PASTE	Objekt Einfügen
TOOLTIP_STUDIOWORKSPACE_RENAME	Objekt umbenennen
TOOLTIP_STUDIOWORKSPACE_FOLDER	Ordner erstellen
TOOLTIP_STUDIOWORKSPACE_ADDCHARA	Charakter hinzufügen
TOOLTIP_STUDIOWORKSPACE_EDITCHARA	Charakter editieren
TOOLTIP_CAMERA_TITLE	Camera
TOOLTIP_CAMERA_ADD	Add a new camera
TOOLTIP_CAMERA_CLEAR	Clear all cameras
TOOLTIP_CAMERA_SAVE	Save selected camera
TOOLTIP_CAMERA_APPLY	Apply selected camera
TOOLTIP_CAMERA_REMOVE	Remove selected camera
