DATAOBJPANEL_NONESELECTED	无
DATAOBJPANEL_NONEAVAILABLE	无可用卡片

DATAOBJPANEL_TYPE_CHARA	角色
DATAOBJPANEL_TYPE_OUTFIT	服装
DATAOBJPANEL_TYPE_SCENE	场景

DATAOBJPANEL_LOADOPTIONS	加载选项

DATAOBJPANEL_DELETE	删除
DATAOBJPANEL_ADD	添加
DATAOBJPANEL_LOAD	加载
DATAOBJPANEL_SAVE	保存

DATAOBJPANEL_CANCEL	取消
DATAOBJPANEL_CAPTURE	捕捉
DATAOBJPANEL_KEEPIMG	保留图像

DATAOBJPANEL_LOAD_CLOTHING	服装
DATAOBJPANEL_LOAD_HAIR	发型
DATAOBJPANEL_LOAD_ACC	配件
DATAOBJPANEL_LOAD_PROFILE	资料
DATAOBJPANEL_LOAD_OUTFITS	服装
DATAOBJPANEL_LOAD_BODY	身体

DATAOBJPANEL_LOAD_MAP	地图
DATAOBJPANEL_LOAD_OBJ	物品
DATAOBJPANEL_LOAD_BG	背景
DATAOBJPANEL_LOAD_BGM	背景音乐
DATAOBJPANEL_TYPE_POSE	FK/IK姿势
DATAOBJPANEL_NAME	名称
DATAOBJPANEL_LOAD_FK	FK
DATAOBJPANEL_LOAD_IK	IK
DATAOBJPANEL_LOAD_IKCORRECTION	IK修正
DATAOBJPANEL_TYPE_FEMALECHARA	女性角色
DATAOBJPANEL_TYPE_MALECHARA	男性角色
