CONTROLPANEL_POSES_TITLE	姿势控制
CONTROLPANEL_POSES_EYEDIR	眼睛方向
CONTROLPANEL_POSES_HEADDIR	头部方向
CONTROLPANEL_POSES_LEFTHANDPOSE	左手势
CONTROLPANEL_POSES_RIGHTHANDPOSE	右手势
CONTROLPANEL_POSES_POSE	姿势选择
CONTROLPANEL_POSES_POSESPEED	姿势速度

CONTROLPANEL_POSES_NONE	无

CONTROLPANEL_POSE_LOOK_UP	上
CONTROLPANEL_POSE_LOOK_DOWN	下
CONTROLPANEL_POSE_LOOK_LEFT	左
CONTROLPANEL_POSE_LOOK_RIGHT	右
CONTROLPANEL_POSE_LOOK_UPLEFT	左上
CONTROLPANEL_POSE_LOOK_UPRIGHT	右上
CONTROLPANEL_POSE_LOOK_DOWNLEFT	左下
CONTROLPANEL_POSE_LOOK_DOWNRIGHT	右下

CONTROLPANEL_POSE_HEAD_UP	上
CONTROLPANEL_POSE_HEAD_DOWN	下
CONTROLPANEL_POSE_HEAD_LEFT	左
CONTROLPANEL_POSE_HEAD_RIGHT	右
CONTROLPANEL_POSE_HEAD_UPLEFT	左上
CONTROLPANEL_POSE_HEAD_UPRIGHT	右上
CONTROLPANEL_POSE_HEAD_DOWNLEFT	左下
CONTROLPANEL_POSE_HEAD_DOWNRIGHT	右下
CONTROLPANEL_POSE_LOOK_CAMERA	镜头
CONTROLPANEL_POSE_LOOK_MANUAL	手动
CONTROLPANEL_POSE_LOOK_FORWARD	前方
CONTROLPANEL_POSE_HEAD_CAMERA	镜头
CONTROLPANEL_POSE_HEAD_ANIMATION	动画
CONTROLPANEL_POSE_HEAD_MANUAL	手动
CONTROLPANEL_POSE_HEAD_FORWARD	前方
CONTROLPANEL_POSES_FKIK	FK/IK Pose
CONTROLPANEL_POSES_FKIKSEL	FK/IK Selection
