SETTINGS_PAGE_CTRL_HEADER_SCREENSHOT	Screenshot
SETTINGS_PAGE_CTRL_HEADER_STUDIO	Studio
SETTINGS_PAGE_CTRL_HEADER_ACTIONS	Azioni

SETTINGS_PAGE_CTRL_SCREENSHOT_UI	Screenshot UI
SETTINGS_PAGE_CTRL_SCREENSHOT_REND	Screenshot Renderedizzato

SETTINGS_PAGE_CTRL_ACTIONS_UNDO	Annulla Azione
SETTINGS_PAGE_CTRL_ACTIONS_REDO	Rifai Azione

SETTINGS_PAGE_CTRL_STUDIO_COPY	Copia Oggetti
SETTINGS_PAGE_CTRL_STUDIO_DUPLICATE	Duplica Oggetti
SETTINGS_PAGE_CTRL_STUDIO_CUT	Taglia Oggetti
SETTINGS_PAGE_CTRL_STUDIO_PASTE	Incolla Oggetti
SETTINGS_PAGE_CTRL_STUDIO_REMOVE	Rimuovi Oggetti
SETTINGS_PAGE_CTRL_STUDIO_RENAME	Rinomina Oggetti

SETTINGS_PAGE_CTRL_STUDIO_MULTIMOD	Modificatore Selezione Multipla
SETTINGS_PAGE_CTRL_STUDIO_RANGEMOD	Modificatore Selezione Intervallo
SETTINGS_PAGE_CTRL_HEADER_MAKER	Maker
SETTINGS_PAGE_CTRL_MAKER_REMOVE	Rimuovi oggetto
SETTINGS_PAGE_CTRL_MAKER_APPENDMOD	Modificatore per aggiungere un'altro
SETTINGS_PAGE_CTRL_MAKER_EDIT	Modifica oggetto
SETTINGS_PAGE_CTRL_CAMERA_FOLLOW	Segui Oggetti
SETTINGS_PAGE_CTRL_CAMERA_RESET	Reset
SETTINGS_PAGE_CTRL_HEADER_CAMERA	Camera
SETTINGS_PAGE_CTRL_ACTIONS_PAUSE	Pausa
SETTINGS_PAGE_CTRL_HEADER_GIZMO	Gizmo
SETTINGS_PAGE_CTRL_GIZMO_POSITION	Position
SETTINGS_PAGE_CTRL_GIZMO_ROTATION	Rotation
SETTINGS_PAGE_CTRL_GIZMO_SCALE	Scale
