STUDIOCHARSETTINGS_CLOTHACCPANEL_TITLE	服裝與配件
STUDIOCHARSETTINGS_CLOTHACCPANEL_NONESELECTED	未選擇角色
STUDIOCHARSETTINGS_CLOTHACCPANEL_ONLYONEALLOWED	一次只能修改一個角色

STUDIOCHARSETTINGS_CLOTHACCPANEL_SETS	套裝
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH	服裝
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC	配件

STUDIOCHARSETTINGS_CLOTHACCPANEL_SET	設置
STUDIOCHARSETTINGS_CLOTHACCPANEL_WEAR	穿戴
STUDIOCHARSETTINGS_CLOTHACCPANEL_WEARING	正在穿戴
STUDIOCHARSETTINGS_CLOTHACCPANEL_TOGGLE	切換
STUDIOCHARSETTINGS_CLOTHACCPANEL_STATE	狀態

STUDIOCHARSETTINGS_CLOTHACCPANEL_DEFAULTOUTFIT	默認服裝
STUDIOCHARSETTINGS_CLOTHACCPANEL_NEWOUTFIT	新服裝
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLONEDOUTFIT	複製服裝

STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_PERCLOTHCONTROL	每件服裝控制
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_AUTO	自動
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_CLOTHED	穿着
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_UNDERWEAR	內衣
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_HALF	部分
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_NAKED	裸體
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_FULL	整體
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_OFF	脫掉

STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_PERACCCONTROL	每個配件控制
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_ESSENTIAL	必要
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_IMPORTANT	重要
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_UNIMPORTANT	不重要
