CONTROLPANEL_POSES_TITLE	ポーズコントロール
CONTROLPANEL_POSES_EYEDIR	目の向き
CONTROLPANEL_POSES_HEADDIR	頭の向き
CONTROLPANEL_POSES_LEFTHANDPOSE	左手のポーズ
CONTROLPANEL_POSES_RIGHTHANDPOSE	右手のポーズ
CONTROLPANEL_POSES_POSE	ポーズ選択
CONTROLPANEL_POSES_POSESPEED	ポーズ速度

CONTROLPANEL_POSES_IK	インバースキネマティクス
CONTROLPANEL_POSES_IKSEL	IK選択

CONTROLPANEL_POSES_NONE	なし

CONTROLPANEL_POSE_LOOK_CAMERA	カメラ
CONTROLPANEL_POSE_LOOK_MANUAL	手動
CONTROLPANEL_POSE_LOOK_FORWARD	前方
CONTROLPANEL_POSE_LOOK_UP	上
CONTROLPANEL_POSE_LOOK_DOWN	下
CONTROLPANEL_POSE_LOOK_LEFT	左
CONTROLPANEL_POSE_LOOK_RIGHT	右
CONTROLPANEL_POSE_LOOK_UPLEFT	左上
CONTROLPANEL_POSE_LOOK_UPRIGHT	右上
CONTROLPANEL_POSE_LOOK_DOWNLEFT	左下
CONTROLPANEL_POSE_LOOK_DOWNRIGHT	右下

CONTROLPANEL_POSE_HEAD_CAMERA	カメラ
CONTROLPANEL_POSE_HEAD_ANIMATION	アニメーション
CONTROLPANEL_POSE_HEAD_MANUAL	手動
CONTROLPANEL_POSE_HEAD_FORWARD	前方
CONTROLPANEL_POSE_HEAD_UP	上
CONTROLPANEL_POSE_HEAD_DOWN	下
CONTROLPANEL_POSE_HEAD_LEFT	左
CONTROLPANEL_POSE_HEAD_RIGHT	右
CONTROLPANEL_POSE_HEAD_UPLEFT	左上
CONTROLPANEL_POSE_HEAD_UPRIGHT	右上
CONTROLPANEL_POSE_HEAD_DOWNLEFT	左下
CONTROLPANEL_POSE_HEAD_DOWNRIGHT	右下
