DATAOBJPANEL_NONESELECTED	無
DATAOBJPANEL_NONEAVAILABLE	無可用卡片

DATAOBJPANEL_TYPE_CHARA	角色
DATAOBJPANEL_TYPE_OUTFIT	服裝
DATAOBJPANEL_TYPE_SCENE	場景

DATAOBJPANEL_LOADOPTIONS	加載選項

DATAOBJPANEL_DELETE	刪除
DATAOBJPANEL_ADD	添加
DATAOBJPANEL_LOAD	加載
DATAOBJPANEL_SAVE	保存

DATAOBJPANEL_CANCEL	取消
DATAOBJPANEL_CAPTURE	捕捉
DATAOBJPANEL_KEEPIMG	保留圖像

DATAOBJPANEL_LOAD_CLOTHING	服裝
DATAOBJPANEL_LOAD_HAIR	髮型
DATAOBJPANEL_LOAD_ACC	配件
DATAOBJPANEL_LOAD_PROFILE	資料
DATAOBJPANEL_LOAD_OUTFITS	服裝
DATAOBJPANEL_LOAD_BODY	身體

DATAOBJPANEL_LOAD_MAP	地圖
DATAOBJPANEL_LOAD_OBJ	物品
DATAOBJPANEL_LOAD_BG	背景
DATAOBJPANEL_LOAD_BGM	背景音樂
