CONFIRMATION_AREYOUSURE	您確定嗎?
CONFIRMATION_YES	是
CONFIRMATION_NO	否

CONFIRMATION_RESETSETTINGS	所有設置將恢復爲默認值
CONFIRMATION_UNSAVEDLOST	任何未保存的進度將丟失

CONFIRMATION_ENVMODIFIED	當前環境將被修改
CONFIRMATION_ENVOVERWRITTEN	當前環境將被覆蓋

CONFIRMATION_CARDREMOVED	該卡片將從設備中移除
CONFIRMATION_SELOBJREMOVED	所選對象將從場景中移除
CONFIRMATION_ALLOBJREMOVED	所有對象將從場景中移除

CONFIRMATION_POSEOVERWRITTEN	當前姿勢將被覆蓋

CONFIRMATION_RSTSTUDIOSCENE	所有場景設置將恢復爲默認值
CONFIRMATION_RSTSTUDIO	所有工作室設置將恢復爲默認值
CONFIRMATION_RELOADMODS	Mod將重新載入，保持目前遊戲狀態。可能會出現錯誤
