NOTIFICATION_TITLE_CLOTHINGFITTING	Provador de Roupas
NOTIFICATION_TITLE_MISSINGMOD	Mod não encontrado
NOTIFICATION_TITLE_BACKGROUND	Plano de Fundo
NOTIFICATION_TITLE_BGM	Música de Fundo
NOTIFICATION_TITLE_SETTINGS	Configurações
NOTIFICATION_TITLE_SCREENSHOT	Captura de Tela
NOTIFICATION_TITLE_TEXTURE	Textura
NOTIFICATION_TITLE_BROKENCHARA	Personagem Com Problema
NOTIFICATION_TITLE_BROKENPOSE	Pose Com Problema
NOTIFICATION_TITLE_BROKENEXPR	Expressão Com Problema
NOTIFICATION_TITLE_MISSINGCHARAPART	Parte do Corpo não encontrada

NOTIFICATION_TITLE_DATAOBJ_CHARACTERCARD	Personagem
NOTIFICATION_TITLE_DATAOBJ_OUTFITCARD	Visual
NOTIFICATION_TITLE_DATAOBJ_STUDIOSCENECARD	Cena do Estúdio
NOTIFICATION_TITLE_DATAOBJ_EXPRESSION	Expressão
NOTIFICATION_TITLE_DATAOBJ_NAMES	Nomes
NOTIFICATION_TITLE_DATAOBJ_SETTINGS	Configurações
NOTIFICATION_TITLE_DATAOBJ_POSECARD	Pose

NOTIFICATION_TITLE_UNDO	Desfazer
NOTIFICATION_TITLE_REDO	Refazer

NOTIFICATION_DESC_CLOTHINGFITTING_COMPLETE	Processo de aplicar roupas completo. (took: {{0}}ms)

NOTIFICATION_DESC_MOD_NOTFOUND	Mod {{0}} ID {{1}} não encontrado, pulando
NOTIFICATION_DESC_MOD_NOTFOUND_DEFAULTING	Mod {{0}} ID {{1}} não encontrado, usando padrão

NOTIFICATION_DESC_BACKGROUND_FAILED	Falha ao carregar imagem de fundo
NOTIFICATION_DESC_BGM_FAILED	Falha ao carregar música de fundo

NOTIFICATION_DESC_CHARA_FAILED	Personagem falhou ao carregar, usando padrão
NOTIFICATION_DESC_POSE_FAILED	Falha ao carregar pose, pulando
NOTIFICATION_DESC_EXPR_FAILED	Falha ao carregar expressão, pulando
NOTIFICATION_DESC_CHARAPART_NOTFOUND_DEFAULTING	Parte do Corpo {{0}} não encontrada, usando padrão

NOTIFICATION_DESC_DATA_SAVED	Sucesso ao salvar dados
NOTIFICATION_DESC_DATA_LOADED	Sucesso ao ler dados
NOTIFICATION_DESC_DATA_ADDED	Sucesso ao adicionar dados
NOTIFICATION_DESC_DATA_DELETED	Sucesso ao deletar dados
NOTIFICATION_DESC_DATA_WFAILED	Falha ao salvar dados
NOTIFICATION_DESC_DATA_RFAILED	Falha ao ler dados

NOTIFICATION_DESC_SAVEDAS	Salvo como {{0}}

NOTIFICATION_DESC_SETTINGS_DEFAULTED	Configurações resetadas para o padrão
NOTIFICATION_DESC_SETTING_FAILED	Falha ao salvar configurações {{0}}

NOTIFICATION_DESC_UNDO_SUCCESS	Sucesso ao Desfazer
NOTIFICATION_DESC_UNDO_FAIL	Falha ao Desafazer

NOTIFICATION_DESC_REDO_SUCCESS	Sucesso ao Refazer
NOTIFICATION_DESC_REDO_FAIL	Falha ao Refazer
NOTIFICATION_DESC_MOD_VERSIONDIFF	Mod {{0}} ID {{1}} versão {{2}} difere do instalado {{3}}, possíveis incompatibilidades
NOTIFICATION_TITLE_SKYBOX	Skybox
NOTIFICATION_DESC_SKYBOX_FAILED	Falha ao carregar skybox
