CONFIRMATION_AREYOUSURE	よろしいですか？
CONFIRMATION_YES	はい
CONFIRMATION_NO	いいえ

CONFIRMATION_RESETSETTINGS	すべての設定がデフォルト値に設定されます
CONFIRMATION_UNSAVEDLOST	保存されていない進行状況が失われます

CONFIRMATION_ENVMODIFIED	現在の環境が変更されます
CONFIRMATION_ENVOVERWRITTEN	現在の環境が上書きされます

CONFIRMATION_CARDREMOVED	カードがデバイスから削除されます
CONFIRMATION_SELOBJREMOVED	選択したオブジェクトがシーンから削除されます
CONFIRMATION_ALLOBJREMOVED	すべてのオブジェクトがシーンから削除されます

CONFIRMATION_POSEOVERWRITTEN	現在のポーズが上書きされます

CONFIRMATION_RSTSTUDIOSCENE	すべてのシーン設定がデフォルト値に設定されます
CONFIRMATION_RSTSTUDIO	すべてのスタジオ設定がデフォルト値に設定されます

CONFIRMATION_RELOADMODS	MODが再読み込みされ、現在のゲーム状態が保持されます。問題が発生する可能性があります。
