STUDIOCHARSETTINGS_EYEHEADPANEL_TITLE	注视与头部控制
STUDIOCHARSETTINGS_EYEHEADPANEL_NONESELECTED	未选择角色
STUDIOCHARSETTINGS_EYEHEADPANEL_ONLYONEALLOWED	一次只能修改一个角色
STUDIOCHARSETTINGS_EYEHEADPANEL_NOTSUPPORTED	该角色不支持眼睛和头部控制

STUDIOCHARSETTINGS_EYEHEADPANEL_EYES	注视
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD	头部

STUDIOCHARSETTINGS_EYEHEADPANEL_DIRECTION	方向

STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_UP	上
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_DOWN	下
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_LEFT	左
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_RIGHT	右
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_UPLEFT	左上
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_UPRIGHT	右上
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_DOWNLEFT	左下
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_DOWNRIGHT	右下

STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_UP	上
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_DOWN	下
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_LEFT	左
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_RIGHT	右
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_UPLEFT	左上
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_UPRIGHT	右上
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_DOWNLEFT	左下
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_DOWNRIGHT	右下
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_CAMERA	镜头
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_MANUAL	手动
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_FORWARD	前方
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_CAMERA	镜头
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_ANIMATION	动画
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_MANUAL	手动
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_FORWARD	前方
