CONFIRMATION_AREYOUSURE	您确定吗?
CONFIRMATION_YES	是
CONFIRMATION_NO	否

CONFIRMATION_RESETSETTINGS	所有设置将恢复为默认值
CONFIRMATION_UNSAVEDLOST	任何未保存的进度将丢失

CONFIRMATION_ENVMODIFIED	当前环境将被修改
CONFIRMATION_ENVOVERWRITTEN	当前环境将被覆盖

CONFIRMATION_CARDREMOVED	该卡片将从设备中移除
CONFIRMATION_SELOBJREMOVED	所选对象将从场景中移除
CONFIRMATION_ALLOBJREMOVED	所有对象将从场景中移除

CONFIRMATION_POSEOVERWRITTEN	当前姿势将被覆盖

CONFIRMATION_RSTSTUDIOSCENE	所有场景设置将恢复为默认值
CONFIRMATION_RSTSTUDIO	所有工作室设置将恢复为默认值
CONFIRMATION_RELOADMODS	Mod将重新加载，保持当前游戏状态。可能会出现错误
