STUDIOCHARSETTINGS_EYEHEADPANEL_TITLE	注視與頭部控制
STUDIOCHARSETTINGS_EYEHEADPANEL_NONESELECTED	未選擇角色
STUDIOCHARSETTINGS_EYEHEADPANEL_ONLYONEALLOWED	一次只能修改一個角色
STUDIOCHARSETTINGS_EYEHEADPANEL_NOTSUPPORTED	該角色不支持眼睛和頭部控制

STUDIOCHARSETTINGS_EYEHEADPANEL_EYES	注視
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD	頭部

STUDIOCHARSETTINGS_EYEHEADPANEL_DIRECTION	方向

STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_UP	上
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_DOWN	下
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_LEFT	左
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_RIGHT	右
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_UPLEFT	左上
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_UPRIGHT	右上
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_DOWNLEFT	左下
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_DOWNRIGHT	右下

STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_UP	上
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_DOWN	下
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_LEFT	左
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_RIGHT	右
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_UPLEFT	左上
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_UPRIGHT	右上
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_DOWNLEFT	左下
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_DOWNRIGHT	右下
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_CAMERA	鏡頭
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_MANUAL	手動
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_FORWARD	前方
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_CAMERA	鏡頭
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_ANIMATION	動畫
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_MANUAL	手動
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_FORWARD	前方
